"id","category","question","answer"
53,"Returns & Warranty","Do I need original packaging?","Strongly recommended for returns. Replacement packaging can be purchased."
54,"Returns & Warranty","Can I return assembled items?","Yes if safely repacked. Disassembly fees may apply for pickups."
55,"Returns & Warranty","Commercial warranties?","Contract-grade lines include extended terms; ask for the spec sheet."
56,"Products & Customization","Can you customize sizes or finishes?","Many pieces are customizable. Lead times and pricing will adjust."
57,"Products & Customization","Do colors match photos exactly?","Natural materials vary. Order swatches to confirm tone and texture."
58,"Products & Customization","Can I order fabric/leather swatches?","Yes—sample kits ship globally. Small fee may apply outside the EU."
59,"Products & Customization","Do you offer fire-rated fabrics/foams?","Yes—BS 5852/Crib 5 and CAL TB117 options available on request."
60,"Products & Customization","Are products suitable for hotels/offices?","Selected lines are contract-grade with abrasion and stability testing."
61,"Products & Customization","Do you provide 3D/2D files?","Yes—3DS, DWG, FBX, and SketchUp models for most products."
62,"Products & Customization","Where are products made?","Designed in Italy; manufactured in Italy and select EU partner workshops."
63,"Products & Customization","Do you offer outdoor finishes?","Yes—marine-grade metals, UV-stable fabrics, and outdoor foams."
64,"Products & Customization","Weight capacity of seating?","Most chairs/sofas are tested to 120–150 kg per seat; see specs."
65,"Products & Customization","Do you include floor protectors?","Yes—felt or nylon glides depending on the model."
66,"Products & Customization","Are finishes low-VOC?","We prioritize water-based/low-VOC finishes; details in data sheets."
67,"Products & Customization","What wood do you use?","Primarily FSC-certified European oak, ash, walnut, and beech."
68,"Products & Customization","Can I request a custom RAL color?","Yes—MOQ and surcharge apply. Provide RAL/Pantone reference."
69,"Products & Customization","Do you offer left/right configurations?","Sectionals and corner units can be ordered L/R—check product page."
70,"Care & Maintenance","How do I clean wood furniture?","Dry dust weekly; wipe with damp soft cloth and mild soap. No harsh chemicals."
71,"Care & Maintenance","How do I care for leather?","Vacuum gently, wipe with damp cloth, condition every 6–12 months."
72,"Care & Maintenance","Fabric care tips?","Blot spills, avoid rubbing, test cleaners, and use fabric protection if offered."
73,"Care & Maintenance","Outdoor care?","Cover during winter, clean regularly, store cushions dry and ventilated."
74,"Care & Maintenance","Do you sell touch-up kits?","Yes—finish pens and oil/wax kits matched to our standard finishes."
75,"Sustainability & Compliance","Do you use FSC wood?","Yes—FSC-certified sources across core collections."
76,"Sustainability & Compliance","Foam and textile standards?","Options include OEKO-TEX® Standard 100 and low-emission foams."
77,"Sustainability & Compliance","Packaging sustainability?","We use recyclable cardboard, paper tape, and right-size packing."
78,"Sustainability & Compliance","Do you offer EPDs?","Environmental Product Declarations available for select items."
79,"Sustainability & Compliance","Country of origin labeling?","Commercial invoices and labels state origin per regulations."
80,"Sustainability & Compliance","REACH/Prop 65 compliance?","Materials are screened; product-level statements provided on request."
81,"Sustainability & Compliance","Do you repair rather than replace?","We prioritize repair and provide parts to extend product life."
82,"Sustainability & Compliance","Do you offset carbon?","We invest in efficiency first; select shipments can be carbon-offset."
83,"Trade & B2B","Do you have a trade program?","Yes—volume pricing, project support, and net terms (on approval)."
84,"Trade & B2B","How do I apply for trade terms?","Submit your company details and VAT/tax ID on our Trade page."
85,"Trade & B2B","What’s your MOQ for custom?","Depends on item/finish—typically 10–50 units. Ask for a quote."
86,"Trade & B2B","Do you provide pro-forma invoices?","Yes—valid for 14 days with specs, lead times, and payment terms."
87,"Trade & B2B","Can you source non-catalog items?","We can develop or source equivalents if specs are clear."
88,"Trade & B2B","Do you offer on-site installation?","Yes—project installs via our logistics partners and crews."
89,"Trade & B2B","Can you ship under my account?","Yes—EXW/FCA terms with your carrier and instructions."
90,"Trade & B2B","Can you meet tender specs?","Share drawings and standards; we’ll confirm conformity or alternates."
91,"Trade & B2B","Do you label for hospitality","We can add room tags, barcodes, and packing lists per room."
92,"Trade & B2B","Do you provide MSDS/SDS?","Safety data for finishes/adhesives available on request."
93,"Accounts & Privacy","Do I need an account to order?","No, but accounts speed checkout and store invoices and addresses."
94,"Accounts & Privacy","How do I update my address or VAT ID?","Log in → Account → Billing/Addresses, then save changes."
95,"Accounts & Privacy","How do you handle my data?","We only use it to fulfill orders and support you. See our Privacy Policy."
96,"Accounts & Privacy","Can I delete my account?","Yes—request via support. We’ll remove non-essential data after legal holds."
97,"Accounts & Privacy","Do you store card details?","No—our payment processor tokenizes them. We don’t see full numbers."
98,"Accounts & Privacy","What are your support hours?","Mon–Fri, 9:00–18:00 CET via chat, email, and phone."
99,"Accounts & Privacy","Language support?","English and Italian on all channels; other languages by email."
100,"Website & Tech","Can I save items to a wishlist?","Yep—tap the heart. Wishlists sync across your devices when logged in."
101,"Website & Tech","Do product pages include dimensions?","Yes—full specs with width, depth, height, seat height, and packaging."
102,"Website & Tech","Do you support AR or room visualization?","For select items we offer AR models on mobile and scale diagrams."
103,"Website & Tech","Can I download assembly guides?","PDFs are on each product page and in your order email."
104,"Website & Tech","Accessibility features?","Keyboard navigation, alt text, and contrast compliant pages."
105,"Pre-Order & Stock","What if an item is out of stock?","You can pre-order; we show estimated restock dates on the page."
106,"Pre-Order & Stock","Do you accept backorders?","Yes—charged at checkout; cancellable until production starts."
107,"Pre-Order & Stock","Can I reserve stock?","We hold items for 48h after a pro-forma is issued."
108,"Pre-Order & Stock","Will my order ship partially?","Choose split shipment at checkout or consolidate to one delivery."
109,"Pre-Order & Stock","How accurate are ETAs?","We update ETAs if suppliers or carriers change schedules."
110,"Delivery Day","Will the furniture fit?","Measure doorways, hallways, and elevators. Compare to our spec sheet."
111,"Delivery Day","Do you call before arrival?","Freight calls/texts a time window; White-Glove confirms a slot."
112,"Delivery Day","Do you assemble everything?","White-Glove includes assembly; curbside/inside doesn’t by default."
113,"Delivery Day","Do you remove packaging?","White-Glove includes packaging removal and cleanup."
114,"Delivery Day","What ID do I need?","A matching government ID and order number for release."
115,"Claims","How do I file a claim?","Open a ticket with order number, photos, and a description within 48h."
116,"Claims","Do you send a technician?","For repairable issues, yes—authorized techs handle warranty fixes."
117,"Claims","Do you cover consequential losses?","No—coverage is limited to the product and delivery per our Terms."
118,"Samples","How long do swatches take to arrive?","EU: 5–7 days. International: 7–14 depending on service."
119,"Samples","How many swatches can I order?","Up to 10 free; larger sets billed and refundable against purchase."
120,"Contact","How do I reach support?","Email [support@yourbrand.com](mailto:support@yourbrand.com), chat via site, or call/WhatsApp +39-XXX-XXX-XXXX (Mon–Fri, 9:00–18:00 CET)."
